BEZEICHNUNG_D,BEZEICHNUNG_I,BEZEICHNUNG_E,ADRESSE_D,ADRESSE_I,PLZ,ORTSCHAFT_D,ORTSCHAFT_I,HOMEPAGE_D,HOMEPAGE_I,TELEFON,TELEFON 2,FAX,EMAIL_I,EMAIL_D,EINTRITT_D,EINTRITT_I,EINTRITT_E,ÖFFNUNGSZEITEN_D,ÖFFNUNGSZEITEN_I,ÖFFNUNGSZEITEN_E,BESCHREIBUNG_D,BESCHREIBUNG_I,BESCHREIBUNG_E,GEOKOORDINATE_X,GEOKOORDINATE_Y
Kleines Museum in Lana,Piccolo Museo a Lana,Little Museum in Lana,Binderweg 3,via Bottai 3,39011,Lana,Lana,,,+39 389 6794823,,,kleines.museum@gmail.com,kleines.museum@gmail.com,freiwillige Spende,offerta libera,free offering,Ganzjährig auf Anfrage,tutto l'anno su richiesta,Open all year round on request,"Das Kleine Museum in Lana beherbergt die private Sammlung von Alexander Schwabl, die den beiden Weltkriegen gewidmet ist. Den Schwerpunkt bilden Uniformen, Dokumente und Fotos.","Il Piccolo Museo di Lana ospita la collezione privata di Alexander Schwabl dedicata alle due guerre mondiali. Pezzi forti sono le uniformi, i documenti e le foto.","This ""little museum"" houses Alexander Schwabl's private collection dedicated to the two world wars. The focus is on uniforms, documents and photos.",11.168356,46.608433
Nationalparkhaus Lahnersäge,Centro visite Lahnersäge,Lahner Sawmill National Park visitor centre,Sägehüttl 64,Sägehüttl 64,39010,St. Gertraud,Santa Gertrude,www.nationalpark-stelvio.it ,www.parconazionale-stelvio.it,+39 0473 798123,,,info@lahnersaege.com,info@lahnersaege.com,"3,00 € Erwachsene - 2,00 € Senioren ab 65, Studenten, Schüler, Behinderte, Gruppen ab 10 Personen - 7,00 € Familienticket (2 Erwachsene mit Kindern bis zu 14 Jahren) - 4,00 € Klein-Familienticket (1 Erwachsene/-r mit Kindern bis zu 14 Jahren) - Kinder bis zu 6 Jahren frei - 1,50 € Schulklassen mit Betreuung vom Lehrpersonal (pro Person) - Gruppenführungen (10 bis ca. 25 Personen) 1,00 € zzgl. zum Eintrittspreis","€ 3,00 adulti - € 2,00 anziani dai 65 anni, studenti, scolari, disabili, gruppi da 10 persone in sù - € 7,00 biglietto famiglia (2 adulti con bambini fino a 14 anni) - € 4,00 biglietto famiglia mini (1 adulto con bambini fino a 14 anni) - ingresso libero per bambini fino ai 6 anni - € 1,50 scolaresche accompagnate da personale docente (a scolaro) - visita guidata per gruppi (10-25 persone) € 1,00/persona oltre all'ingresso","€3.00 adults - €2.00 persons with handicap, senior from up to 65 y., groups with at least 10 persons - €7.00 family ticket (2 adults with children up to 14 yrs.) - €4.00 mini-family ticket (1 adult with children up to 14 yrs.) - free entrance for children up to 6 yrs. to add to the ticket - €1.50 school classes with teachers (per student) - guided tour through the expositions for groups (10-25 visitors) €1.00 added to the entrance fee","Jan-März, Mai-Okt - Di-Sa 9.30-12.30, 14.30-17.30 h - Juli, Aug auch So 14.30-17.30 h","gen-mar, mag-ott - mar-sab h 9.30-12.30, 14.30-17.30 - lug, ago anche dom h 14.30-17.30","Jan-March, may-Oct - Tue-Sat 9.30-12.30, 2.30-5.30 pm - July, Aug also Sun 2.30-5.30 pm",Das Nationalparkhaus Lahnersäge beschäftigt sich mit dem Ökosystem Wald und seiner Bedeutung für den Menschen und die Natur. An der restaurierten wasserbetriebenen Venezianersäge wird das Schneiden des Baumstammes zu Bretterholz vorgeführt.,"Il Centro visite del Parco Nazionale dello Stelvio “Lahnersäge” illustra quanto sia essenziale l’ecosistema “bosco” per l’uomo e la natura. Nell’antica segheria ad acqua alla veneziana, ora restaurata, i tronchi vengono trasformati in tavole, mentre la macina trasforma i chicchi di grano in farina.",The Lahnersäge visitor centre focuses on the forest ecosystem and its importance for people and nature. The production of boards and other wooden items is demonstrated at the refurbished old Venetian sawmill.,10.877133,46.490036
Feuerwehrhelmmuseum,Museo degli elmi dei pompieri,Firefighting Helmet Museum,Schloss-Neuhaus-Straße 7,"via Schloss-Neuhaus, 7",39030,Gais,Gais,www.hotel-burgfrieden.com,www.hotel-burgfrieden.com,+39 0474 504117,,,info@hotel-burgfrieden.com,info@hotel-burgfrieden.com,"5,00 € Erwachsene - 2,50 € Kinder bis 12 Jahren","€ 5,00 adulti - € 2,50 bambini fino ai 12 anni",€5.00 adults - €2.50 children up to 12 years,"Juni-Nov, Weihnachten-März 10-18 h - oder mit Anmeldung","giu-nov, Natale-marzo h 10-18 - o su richiesta","June-Nov, Christmas-March 10-6 pm - or on request","Im Feuerwehrhelmmuseum sind rund 700 Helme aus der ganzen Welt und aus unterschiedlichen Epochen<ins datetime=""2022-03-31T14:48"" cite=""mailto:Siller,%20Notburga"">,</ins> darunter auch französische Metallhelme mit Federbusch, Ärmelabzeichen, Feuerwehrbeile, Offizierssäbel sowie seltene Uniformen ausgestellt.","Il Museo degli elmi dei pompieri espone circa 700 elmi da tutto il mondo e di diverse epoche, tra i quali anche elmi francesi in metallo con pennacchio, scuri, sciabole e uniformi rare.","The Firefighter's Helmet Museum exhibits around 700 helmets from all over the world and from different eras, including French metal helmets with feather plumes, sleeve badges, fire brigade hatchets, officers' sabres and rare uniforms.",11.944184,46.841702
Naturparkhaus Rieserferner-Ahrn,Centro visite Vedrette di Ries-Aurina,Rieserferner-Ahrn visitor centre,Rathausplatz 9,piazza Municipio 9,39032,Sand in Taufers,Campo Tures,www.provinz.bz.it/naturparke,www.provincia.bz.it/parchi-naturali,+39 0474 677 546,,,info.ra@provincia.bz.it,info.rfa@provinz.bz.it,Eintritt frei,ingresso gratuito,free entrance,"Ende Dez-März - Mai-Okt - Di-Sa 9.30-12.30 h, 14.30-18 h - Juli, Aug auch So","fine dic-marzo - mag-ott - mar-sab h 9.30-12.30, 14.30-18 - lug, ago anche dom","end-Dec-March - May-Oct - Tue-Sat 9.30-12.30, 2.30-6 pm - July, Aug also Sun","Das Naturparkhaus beschäftigt sich mit den Grenzen der Natur und der Menschen. Erläutert werden die landschaftsformenden Kräfte der Gletscher, die geologische Vielfalt, die Vegetationsstufen, die Welt der Mineralien und kulturhistorische Aspekte wie der Ahrntaler Dialekt.","Tema centrale del Centro visite è “I confini della natura e i confini dell’uomo”. Vi si presentano le forze trasformatrici dei ghiacciai e dell’acqua, la varietà geologica, la vegetazione, il mondo dei minerali e vari aspetti storico-culturali come il caratteristico dialetto della valle.","The visitor centre deals with boundaries of nature and people. The landscape-forming forces of the glaciers, the geological diversity, the vegetation stages, the world of minerals and cultural-historical aspects such as the local dialect are covered.",11.952777,46.919424
Schloss Runkelstein,Castel Roncolo,Runkelstein Castle,St. Anton 15,S. Antonio 15,39100,Bozen,Bolzano,www.runkelstein.info,www.roncolo.info,+39 0471 329808,,+39 0471 324026,roncolo@roncolo.info,runkelstein@runkelstein.info,"8,00 Euro Erwachsene - 5,50 Euro reduziert (Studenten, Senioren ab 65 Jahren, Menschen mit Behinderung,  Gruppen ab 10 Personen) - 16,00 Euro Familienkarte (2 Erwachsene mit Kinder unter 14 Jahren) - 2,50 Euro Schülerkarte (für Schulklassen) - 14,50 Euro Führungszuschlag pro Schulklasse - 2,70 Euro Führungszuschlag pro Person","€ 8,00 adulti - € 5,50 biglietto ridotto (studenti, anziani oltre 65 anni, disabili, gruppi a partire da 10 persone) - € 16,00 carta famiglia (2 adulti con bambini sotto i 14 anni) - € 2,50 scolari (per classi scolastiche) - € 14,50 supplemento guida per classe scolastica - € 2,70 supplemento guida per persone","€ 8,00 adults - € 5,50 reduced ticket (Students, seniors over 65, disabled persons, groups over 10 persons) - € 16,00 Family-Card (2 adults with children under 14 years) - € 2,50 scholar ticket (for school class) - € 14,50 supplement for guided tours (per school class) - € 2,70 supplement for guided tours (per person)","Mitte März-1. Nov - Di-So 10-18 h (letzter Einlass 17.30 h) - 2. Nov-Mitte März 10-17 h (letzter Einlass 16.30 h) - geschl. Mitte Jan-24. Feb und 24., 25., 31. Dez, 1. Jan","metà marzo-1 nov - mar-dom h 10-18 (ultimo ingresso h 17.30) - 2 nov-metà marzo h 10-17 (ultimo ingresso h 16.30) - chiuso metà gen-24 feb e 24, 25, 31 dic, 1° gen","mid-March-1 Nov - Tue-Sun 10-6 pm (last admission 5.30 pm) - 2 Nov-mid-March 10-5 pm (last admission 4.30 pm) - Closed mid-Jan-24 Feb and 24, 25, 31 Dec, 1 Jan",Schloss Runkelstein geht auf das 13. Jahrhundert zurück. Neben dem größten erhaltenen profanen Freskenzyklus des Mittelalters und Objekten aus der ehemaligen Waffenkammer werden wechselnde Ausstellungen zu kulturhistorischen Themen gezeigt.,"Castel Roncolo risale al XIII secolo. Oltre al celebre ciclo di affreschi profani risalenti al Medioevo e a oggetti dalla vecchia armeria, si possono periodicamente ammirare mostre temporanee su temi di storia culturale.","Castle Runkelstein/Roncolo dates back to the 13th century. In addition to the largest preserved secular fresco cycle of the Middle Ages and objects from the former armoury, changing exhibitions on cultural-historical topics are shown.",11.35849,46.51542
Frauenmuseum,Museo delle Donne,Women's Museum,Meinhardstraße 2,"via Mainardo, 2",39012,Meran,Merano,www.museia.it,www.museia.it,+39 0473 231216,,+39 0473 239553,info@museia.it,info@museia.it,"5,00 € Erwachsene  - 4,50 € Ermäßigunge, mit Kurkarte, Studenteninnen, Senioreninnen  - 8,00 € (pro Kopf) Führungen für Gruppen, Gruppenführungen auf Anfrage und auf Vormerkung auch außerhalb der Öffnungszeiten","€ 5,00 adulti  - € 4,50 ridotto: con carta turistica, studenti, anziani - € 8,00 (a testa) visite guidate per gruppi, visite guidate su richiesta e su prenotazione anche al di fuori dell'orario d'apertura","€5.00 adults  - €4.50 reduced: with guest card, students, elderly - €8.00 guided tours for groups, by appointment only",Mo-Fr 10-17 h - Sa 10-12.30 h,lun-ven h 10-17 - sab h 10-12.30,Mon-Fri 10-5 pm - Sat 10-12.30,"Frauengeschichte im Wandel der Zeiten, von gestern bis heute, erzählt anhand Mode, Alltagsobjekten, Statistiken und Bildern: Das Frauenmuseum stellt Frauen ins Zentrum der Geschichtsschreibung, thematisiert Ausschnitte der Frauenemanzipation und präsentiert wichtige Vertreterinnen unterschiedlicher Epochen. Jährliche Sonderausstellungen.","La storia delle donne da ieri a oggi, raccontata attraverso la moda, gli oggetti della quotidianità, le statistiche e il costume: il Museo delle donne pone le donne al centro della storiografia, con sezioni dedicate all’emancipazione femminile e ritratti biografici di alcune sue protagoniste nelle varie epoche. Ogni anno ospita una mostra temporanea.","Women's history through the ages, from yesterday to today, told through fashion, everyday objects, statistics and pictures: The Frauenmuseum places women at the centre of historiography, explores excerpts from the emancipation of women and presents important representatives of different eras. Annual special exhibitions.",11.158706,46.672593
Stadtmuseum Klausen,Museo Civico di Chiusa,Klausen Municipal Museum,"Kapuzinerkloster, Frag 1","Convento dei Cappuccini, via Fraghes, 1",39043,Klausen,Chiusa,www.museumklausenchiusa.it,www.museumklausenchiusa.it,+39 0472 846148,,+39 0472 846148,museum@klausen-bz.it,museum@klausen-bz.it,"4,00 € Erwachsene  - 2,50 € Gruppen ab 8 Personen, Personen ab 60 Jahre, Mitglieder des FAI  - 1,50 € Jugendliche (8-18 Jahre), Studentinnen und Studenten  - 8,00 € Familien  - gratis für Kinder 0-8 Jahre - gratis für Schüler und Inhaber abo+ - 2,50 € Inhaber Kulturpass - 2,50 € nur Sonderausstellung oder Kapuzinerkirche","€ 4,00 adulti  - € 2,50 gruppi oltre 8 persone, persone oltre 60 anni, soci FAI  - € 1,50 giovani (8-18 anni), studenti  - € 8,00 famiglie - gratis bambini 0-8 anni - gratis per scolari e titolari abo+ - € 2,50 titolari Kulturpass - € 2,50 solo Galleria o Chiesa dei Cappuccini","€4.00 adults  - €2.50 groups of 8 or more, people over 60 years  - €1.50 young people (8-18 years), students  - €8.00 families  - gratis for children (0-8 years) - gratis for abo+ holders - €2.50 Kulturpass holders - €2.50 exhibition or Capuchin Church only","Ende März-Ende Okt - Di-Sa 9.30-12, 15.30-18 h - geschl. So, Mo, feiertags","fine marzo-fine ott - mar-sab h 9.30-12, 15.30-18 - chiuso dom, lun, festivi","end of March-end of Oct - Tue-Sat 9.30-12, 3.30-6 pm - Closed Sun, Mon, public holidays","Das Museum im ehemaligen Kapuzinerkloster bewahrt den berühmten Loretoschatz (wertvolles spanisches, italienisches und flämisches Kunsthandwerk des 16. und 17. Jahrhunderts), Werke der Klausner Künstlerkolonie (1874–1914) und von Alexander Koester. Zum Rundgang gehört die Besichtigung der Kapuzinerkirche. Die Museumsgalerie bietet Sonderausstellungen.","Il museo nell’ex Convento dei Cappuccini conserva il celebre Tesoro di Loreto (opere d’arte e preziosi oggetti sacri di scuola italiana, spagnola e fiamminga dei sec. XVI e XVII), dipinti degli artisti della Colonia Artistica di Chiusa (1874–1914) e di Alexander Koester. La visita include la Chiesa dei Cappuccini. La Galleria Civica offre mostre temporanee.","The museum in the former Capuchin monastery preserves the famous Loreto treasure (valuable Spanish, Italian and Flemish arts and crafts from the 16th and 17th centuries), works by the city's artists' colony (1874 – 1914) and by Alexander Koester. The tour includes a visit to the Capuchin Church. The museum gallery offers special exhibitions.",11.5636146,46.6388591
Gampen Bunker,Gampen Bunker,Gampen Bunker,Gampen Pass,Passo Palade,39010,Unsere Liebe Frau im Walde-Sankt Felix,Senale-San Felice,www.gampengallery.it,www.gampengallery.it,+39 0463 800023,,,info@gampengallery.it,info@gampengallery.it,"4,50 € Erwachsene - Kinder bis 5 J. freier Eintritt - 2,50 € Kinder (6-13 J.) - 3,50 € ab 60 Jahren - 3,50 € Gruppen ab 10 Personen - Mit Führung: - 9,00 € Erwachsene - freier Eintritt für Kinder bis 5 J. - 5,00 € Kinder (6-13 J.) - 7,00 € ab 60 Jahren - 7,00 € Gruppen ab 10 Personen","€ 4,50 adulti - bambini fino ai 5 anni ingresso libero - € 2,50 bambini (6-13 anni) - € 3,50 dai 60 anni - € 3,50 gruppi min. 10 persone - Con visita guidata: - € 9,00 adulti - bambini fino ai 5 anni ingresso libero - € 5,00 bambini (6-13 anni) - € 7,00 dai 60 anni - € 7,00 gruppi min. 10 persone",€4.50 adults - children up to 5 years free admission - €2.50 children (6-13 years) - €3.50 over 60 years - €3.50 groups (min. 10 persons) - With guided tour: - €9.00 adults - children up to 5 years free admission - €5.00 children (6-13 years) - €7.00 over 60 years - €7.00 groups (min. 10 persons),"Mai, Okt Fr-So 10-17 h - Juni, Sep Sa-Mo 10-17 h - Juli, Aug täglich 10-17 h - letzter Einlass 16.15 h","mag, ott ven-dom h 10-17 - giu, set sab-lun h 10-17 - lug, ago tutti i giorni h 10-17 - ultimo ingresso h 16.15","May, Oct Fri-Sun 10-5 pm - June, Sep Sat-Mon 10-5 pm - July, Aug daily 10-5 pm - last entrance 4.15 pm","Die Bunkeranlage wurde 1940/1941 vom faschistischen Regime als Verteidigungsanlage errichtet. Der durch seine Größe beeindruckende unterirdische mehrstöckige Bau besteht aus einem Netz von Tunnels, die Schießscharten und innere Räume verbinden. Eingangs ist eine Bilderausstellung (Gampen Gallery) zu sehen, im Inneren u .a. eine Mineraliensammlung.","Realizzato nel 1940-41 dal regime fascista per scopi difensivi, il bunker è un’impressionante fortificazione sotterranea su più piani costituita da una lunga rete di gallerie che collegano postazioni di tiro e ampi spazi interni. La parte iniziale ospita una galleria espositiva di immagini (Gampen Gallery), l’interno tra l’altro una collezione di minerali.",The bunker was erected by the fascist regime in 1940/1941. The extensive underground multi-storey structure consists of a network of tunnels connecting embrasures and inner rooms. There is a photo exhibition (Gampen Gallery) at the entrance and a collection of minerals inside.,11.111276,46.528148
Dokumentationszentrum Culten,Centro di documentazione Culten,Documentation Centre Culten,Fachhaus 33,"Fachhaus, 33",39016,St. Walburg/Ulten,Santa Valpurga/Ultimo,www.culten.it,www.culten.it,+39 0473 428900,,,info@culten.it,info@culten.it,"€ 5,00 adulti - € 4,00 gruppi a partire da 10 persone (a persona) - € 3,00 bambini e ragazzi 6-14, studenti, persone con disabilità - € 2,00 scolaresche (a persona) - € 2,00 visita guidata (a persona)","5,00 € Erwachsene - 4,00 € Gruppen ab 10 Personen (pro Person) - 3,00 € Schüler, Studenten, Menschen mit Beeinträchtigung - 2,00 € Schulklassen (pro Person) - 2,00 € Führungen (pro Person)","€5.00 adults - €4.00 groups of 10 or more - €3.00 children and young people 6-14, students, handicapped - €2.00 schools  - €2.00 guided tour","Mitte Mai-Anfang Nov - Sa, So 14-18 h","metà mag-inizio nov - sab, dom h 14-18","mid-May-beginning of Nov - Sat, Sun 2-6 pm","Das Dokumentationszentrum Culten am Kirchhügel von St. Walburg/Ulten steht am Standort einer bronze- und eisenzeitlichen Siedlung (1400–600 v. Chr.), welche später zu einem Brandopferplatz wurde. Die Ausstellung dokumentiert den Lebensraum der Menschen im Tal seit der Steinzeit und zeigt archäologische Fundstücke aus verschiedenen Epochen.","Il Centro di documentazione Culten è sito sul colle della chiesa di Santa Valpurga/Ultimo, antico insediamento dell'età del bronzo e del ferro (1400-600 a.C.) poi trasformato in luogo per olocausti. La mostra presenta la storia insediativa della valle in età preistorica e reperti archeologici di diverse epoche.","The Culten documentation centre on the church hill of St. Walburg/S. Valpurga stands on the site of a Bronze and Iron Age settlement (1400 – 600 BC), which later became a burnt offering site. The exhibition documents the living space of the people in the valley since the Stone Age and shows archaeological finds from different eras.",11.008797,46.550347
Plessi Museum,Plessi Museum,Plessi Museum,"Rastplatz ""Plessi""","Area di sosta ""Plessi""",39041,Brenner,Brennero,www.autobrennero.it/de/das-autobahnnetz-/dienstleistungen/plessi-museum,www.autobrennero.it/it/la-rete-autostradale/i-servizi/plessi-museum,,,,plessimuseum@autobrennero.it,plessimuseum@autobrennero.it,freier Eintritt,ingresso gratuito,free admission,täglich 6-22 Uhr,ogni giorno h 6-22,daily 6-10 pm,"Das Plessi Museum ist das erste Museumgelände an der italienischen Autobahn. Innen zeichnet es sich durch die große Installation aus, die der Künstler Fabrizio Plessi im Jahr 2000 für die Expo Hannover zur Feier der Europaregion Tirol-Südtirol-Trentino geschaffen hat. Zu sehen sind zudem Videoinstallationen, Skulpturen sowie grafisch-malerische Werke.","Il Plessi Museum è il primo spazio museale in autostrada in Italia. È segnato dalla presenza dell’installazione che l’artista Fabrizio Plessi ha realizzato nel 2000, in occasione dell’Expo di Hannover, per celebrare l’Euregio Tirolo-Alto Adige-Trentino. Da vedere anche installazioni video, sculture e presenze grafico-pittoriche.","The Plessi Museum is the first museum-like site on the Italian motorway. Inside dominates the large installation created by the artist Fabrizio Plessi in 2000 for Expo Hanover to celebrate the European region of Tyrol-South Tyrol-Trentino. Also on view are video installations, sculptures and graphic-painting works.",11.501314,46.99484
Schloss Rodenegg,Castel Rodengo,Castle Rodenegg,Vill 1,Villa 1,39037,Rodeneck,Rodengo,www.rodenegg.com,www.rodenegg.com,+39 391 7489492,,,schloss.rodenegg@gmail.com,schloss.rodenegg@gmail.com,"8,00 € Erwachsene  - 6,00 € Erwachsene (auch Senioren) in Gruppen - 4,00 € Jugend (10-18 Jahre) - 3,00 € Kinder (6-10 Jahre)","8,00 € adulti - 6,00 € adulti (anche anziani) in gruppi - 4,00 € ragazzi (10-18 anni) - 3,00 € bambini (6-10 anni)","€8,00 adults - €6,00 adults (elderly too) in groups - €4,00 children (10-18 years) - €3,00 children (6-10 years)","Führungen - Ende Mai-Anfang Okt -  So-Fr, 11.30, 14.30 h - Jul-Aug auch 16 h - Gruppen ab 15 Personen mit Anmeldung","visite guidate - fine mag-inizio sett - dom-ven, h 11.30, 14.30 - lug-ago anche h 16 - gruppi da 15 persone su prenotazione","Guided tours - end of May-beginning of Oct - Sun-Fri at 11.30, 2.30 pm - July-Aug also at 4 pm - Groups from 15 people by appointment only","Die Ursprünge des Schlosses gehen auf 1140 zurück. Der Rundgang führt zu den Ywein-Fresken aus dem frühen 13. Jahrhundert – sie zählen zu den ältesten profanen Wandmalereien im deutschsprachigen Raum –, in den farbenprächtigen Hochzeitssaal und zur Waffensammlung.","Il castello risale al 1140. Il percorso propone gli affreschi del “Ciclo di Ivano” (XIII sec.), primissima testimonianza della cultura profana e cavalleresca di area tedesca, la sala nuziale e la cappella riccamente dipinte, l’ampia biblioteca e una raccolta di dipinti, stemmi e armi.","The origins of the castle date back to 1140. The tour leads to the Ywein frescoes from the early 13th century – they are among the oldest secular wall paintings in the Germanspeaking world –, to the colourful wedding hall and to the weapons collection.",11.687945,46.774205
MuseumPasseier - Andreas Hofer,MuseoPassiria - Andreas Hofer,MuseumPasseier - Andreas Hofer,"Sandhof, Passeirerstraße 72","Maso Sand, via Passiria, 72",39015,St. Leonhard in Passeier,San Leonardo in Passiria,www.museum.passeier.it,www.museum.passeier.it,+39 0473 659086,,+39 0473 657721,info@museum.passeier.it,info@museum.passeier.it,"10,00 € Erwachsene (18 bis 64 Jahren)  - 9,00 € Erwachsene mit Wohnsitz in Südtirol, Gäste mit GuestCard, Senior (ab 65 Jahren), Studenten, Personen mit Behinderung - 7,00 € Gruppen ab 10 Personen  - Jugend bis 18 Jahren frei - 14,00 € Kombiticket MuseumPasseier + Bunker Mooseum (Einzelticket) - 26,00 € Kombiticket MuseumPasseier + Bunker Mooseum (Familien mit Kindern bis 18 Jahren) - frei mit museumobil Card/Museumcard, ICOM-Ausweis, Ausweis Museumsverband Südtirol","€ 10,00 adulti (18-64 anni)  - € 9,00 adulti residenti in Alto Adige, visitatori con GuestCard, visitatori over 65, studenti, disabili  - € 7,00 gruppi a partire da 10 persone  - gratuito per giovani fino ai 18 anni - € 14,00 biglietto combinato MuseumPasseier + Bunker Mooseum (biglietto singolo) - € 26,00 biglietto combinato MuseumPasseier + Bunker Mooseum (famiglie con ragazzi fino ai 18 anni) - gratuito con museumobil Card/Museumcard, tessera ICOM, tessera Associazione Musei Alto Adige","€10,00 adults (18-64 years) - €9.00 visitors with GuestCard, seniors from 65 years, students, persons with disabilities - €7.00 groups of 10 persons and above - free for young people up to 18 years - €14.00 combi ticket MuseumPasseier + Bunker Mooseum (single ticket) - €26.00 combi ticket MuseumPasseier + Bunker Mooseum (families with children up to 18 years) - free with museumobil Card/Museumcard, ICOM card",Apr-Okt -  Di-So 10-17 h (letzter Einlass 16 h) - geschl. Mo außer an Feiertagen,apr-ott -  mar-dom h 10-17 (ultimo accesso h 16) - chiuso lun eccetto festivi,Apr-Oct - Tue-Sun 10-5 pm (last entrance 4 pm) - closed Mon except public holidays,"Das Museum am Sandhof erzählt lebendig und unterhaltsam die Geschichte von Andreas Hofer, dem Tiroler Volkshelden. Die Dauerausstellung „Helden & Wir“ reflektiert über Vorbilder der heutigen Zeit. Im Freilichtbereich ist das bäuerliche Leben veranschaulicht.","Ospitato nel maso Sand, il museo racconta in forma viva e avvincente la storia di Andreas Hofer, l’eroe popolare tirolese. La mostra permanente “Eroi & Noi” riflette su eroi odierni. Il museo all’aperto illustra la vita contadina.","The museum tells the story of Andreas Hofer, the Tyrolean folk hero, in a lively and entertaining way. The permanent exhibition “Heroes & Us” reflects on role models of today. In the open-air area, rural life is illustrated.",11.23868,46.801642
Naturparkhaus Schlern-Rosengarten,Centro visite Sciliar-Catinaccio,Schlern-Rosengarten/Sciliar-Catinaccio visitor centre,Oswald von Wolkensteinplatz 6,"piazza Oswald von Wolkenstein, 6",39040,Seis am Schlern,Siusi allo Sciliar,www.provinz.bz.it/naturparke,www.provincia.bz.it/parchi-naturali,+39 0471 708110,,,info.sc@provincia.bz.it,info.sr@provinz.bz.it,Eintritt frei,ingresso gratuito,free entrance,"Öffnungszeiten: siehe <a href=""http://www.provinz.bz.it/naturparke"">www.provinz.bz.it/naturparke</a>","Orari di apertura: vedi <a href=""http://www.provincia.bz.it/parchi-naturali"">www.provincia.bz.it/parchi-naturali</a>","Opening times: see <a href=""http://www.provinz.bz.it/nature-parks"">www.provinz.bz.it/nature-parks</a>",Das Naturparkhaus Schlern-Rosengarten im Dorfzentrum von Seis am Schlern gewährt einen Einblick in die Geologie sowie die Tier- und Pflanzenwelt des Naturparks. Wechselausstellungen zeigen immer wieder neue Seiten des Naturparks.,"Al Centro visite Sciliar-Catinaccio è possibile scoprire la geologia, la flora e la fauna del parco naturale Sciliar-Catinaccio. Una parte della mostra viene costantemente cambiata, in modo che il parco naturale possa presentarsi nei suoi vari aspetti.",The visitor centre in the village centre of Seis am Schlern/Siusi allo Sciliar provides an insight into the geology as well as the flora and fauna of he nature park. Temporary exhibitions always show new sides of the nature park.,11.55776184,46.54507983
Mühlenensemble im Thal,Mulini di Aldino,Mill ensemble on the Thal stream Aldein,Thalweg 10,via Thal 10,39040,Aldein,Aldino,www.museum-aldein.com,www.museo-aldino.it,+39 0471 886832,+39 0471 886800,,info@museo-aldino.com,info@museum-aldein.com,freiwilllige Spende,offerta libera,volontary contribution,"Jul, Aug  - Führungen Sa 9 h (Treffpunkt: FF Aldein) oder mit Anmeldung - Mai-Okt  - Führungen ab 8 Personen mit Anmeldung","lug, ago  - visite guidate sab h 9 (ritrovo: VVF Aldino) o su prenotazione - mag-ott - visite guidate minimo 8 persone su prenotazione","July, Aug - guided tour on Sat 9 (meeting point: firefighters Aldein) or by appointment - May-Oct - guided tour min. 8 persons by appointment","Im Aldeiner Gemeindegebiet gab es einst zahlreiche Mühlen, Stampfen und Rendeln, denn der Getreideanbau war die wichtigste Lebensgrundlage. Einige davon sind wieder aktiviert worden und können besichtigt werden.","La zona di Aldino era un tempo sede di innumerevoli mulini, brillatoi e pestini, poiché la coltivazione dei cereali rappresentava la più importante fonte di sostentamento. Lungo il rio Thal ora alcuni di essi, riattivati, sono accessibili al pubblico.","There were once numerous mills, stamping mills and reeds in the town, because grain cultivation was the most important source of livelihood. Some of them have been reactivated and can be visited.",11.354077,46.368122
